date,pond_id,pond_name,tiiki,ooaza,area_ha,water_area_m2,satellite,orbit
2026-08-21,0,野狐谷溜池,杵築,八坂,2.25,6308.5,Sentinel-1,DESCENDING
2026-08-21,1,申川溜池,杵築,八坂,2.06,5261.8,Sentinel-1,DESCENDING
2026-08-21,2,白水池,杵築,馬場尾,4.84,26590.4,Sentinel-1,DESCENDING
2026-08-21,3,床並溜池,山香,下,1.65,7519.5,Sentinel-1,DESCENDING
2026-08-21,12,大河内溜池南方の池,大田,白木原,0.92,1865.3,Sentinel-1,DESCENDING
2026-08-21,13,大河内溜池,大田,白木原,2.64,12166.1,Sentinel-1,DESCENDING
2026-08-21,14,黄午渕溜池,大田,永松,0.89,2872.8,Sentinel-1,DESCENDING
2026-08-21,15,俣水1012付近の池,大田,俣水,1.61,4859.6,Sentinel-1,DESCENDING
2026-08-21,16,東下司溜池,杵築,南杵築,0.65,788.4,Sentinel-1,DESCENDING
2026-08-21,17,西下司溜池,杵築,南杵築,1.3,3331.0,Sentinel-1,DESCENDING
2026-08-21,18,日指ダム,山香,日指,39.42,161390.0,Sentinel-1,DESCENDING
2026-08-21,19,日指ダム,山香,日指,12.57,31675.5,Sentinel-1,DESCENDING
2026-08-21,20,楠溜池,山香,吉野渡,7.11,34556.6,Sentinel-1,DESCENDING
2026-08-21,21,石山ダム,杵築,溝井,10.73,36455.0,Sentinel-1,DESCENDING
2026-08-21,22,尾払溜池,杵築,守江,7.07,44386.5,Sentinel-1,DESCENDING
2026-08-21,23,鍋倉ダム,杵築,守江,9.42,49623.9,Sentinel-1,DESCENDING
2026-08-21,24,糠味噌溜池,杵築,日野,1.69,0.0,Sentinel-1,DESCENDING
2026-08-21,25,弁天池,杵築,溝井,4.32,23631.2,Sentinel-1,DESCENDING
2026-08-21,26,山迫溜池,杵築,鴨川,2.08,4598.5,Sentinel-1,DESCENDING
2026-08-21,27,スネコスリ溜池,杵築,猪尾,5.54,27364.5,Sentinel-1,DESCENDING
2026-08-21,28,中ノ池溜池,杵築,溝井,0.91,1019.1,Sentinel-1,DESCENDING
2026-08-21,29,立尻溜池,杵築,溝井,1.61,6534.7,Sentinel-1,DESCENDING
2026-08-21,30,本庄新池,杵築,本庄,3.53,620.2,Sentinel-1,DESCENDING
2026-08-21,31,双子溜池,杵築,本庄,2.7,14452.3,Sentinel-1,DESCENDING
2026-08-21,32,大台溜池,杵築,本庄,5.22,26608.6,Sentinel-1,DESCENDING
2026-08-21,33,夫婦池南部,杵築,熊野,1.43,3962.5,Sentinel-1,DESCENDING
2026-08-21,34,夫婦池北部,杵築,熊野,2.44,10865.5,Sentinel-1,DESCENDING
2026-08-21,35,新宮溜池,杵築,日野,3.81,15104.6,Sentinel-1,DESCENDING
2026-08-21,43,轟溜池,杵築,船部,2.04,4245.2,Sentinel-1,DESCENDING
2026-08-21,48,申川溜池北方の池,杵築,八坂,0.49,941.1,Sentinel-1,DESCENDING
